mem: 94087967428120, val: 3
mem: 94087967428119, val: 0
mem: 94087967428118, val: 0
mem: 94087967428117, val: 85
mem: 94087967428116, val: 146
mem: 94087967428115, val: 143
mem: 94087967428114, val: 224
mem: 94087967428113, val: 78
mem: 94087967428112, val: 104
mem: 94087967428111, val: 0
mem: 94087967428110, val: 0
mem: 94087967428109, val: 85
mem: 94087967428108, val: 146
mem: 94087967428107, val: 143
mem: 94087967428106, val: 69
mem: 94087967428105, val: 161
mem: 94087967428104, val: 3
mem: 94087967428103, val: 0
mem: 94087967428102, val: 0
mem: 94087967428101, val: 85
mem: 94087967428100, val: 146
mem: 94087967428099, val: 143
mem: 94087967428098, val: 224
mem: 94087967428097, val: 79
mem: 94087967428096, val: 60
mem: 94087967428095, val: 0
mem: 94087967428094, val: 0
mem: 94087967428093, val: 85
mem: 94087967428092, val: 146
mem: 94087967428091, val: 143
mem: 94087967428090, val: 224
mem: 94087967428089, val: 79
mem: 94087967428088, val: 136
mem: 94087967428087, val: 0
mem: 94087967428086, val: 0
mem: 94087967428085, val: 85
mem: 94087967428084, val: 146
mem: 94087967428083, val: 143
mem: 94087967428082, val: 224
mem: 94087967428081, val: 79
mem: 94087967428080, val: 136
mem: 94087967428079, val: 0
mem: 94087967428078, val: 0
mem: 94087967428077, val: 0
mem: 94087967428076, val: 0
mem: 94087967428075, val: 0
mem: 94087967428074, val: 0
mem: 94087967428073, val: 0
mem: 94087967428072, val: 1
mem: 94087967428071, val: 0
mem: 94087967428070, val: 0
mem: 94087967428069, val: 0
mem: 94087967428068, val: 0
mem: 94087967428067, val: 0
mem: 94087967428066, val: 0
mem: 94087967428065, val: 1
mem: 94087967428064, val: 81
mem: 94087967428063, val: 0
mem: 94087967428062, val: 0
mem: 94087967428061, val: 85
mem: 94087967428060, val: 146
mem: 94087967428059, val: 143
mem: 94087967428058, val: 69
mem: 94087967428057, val: 77
mem: 94087967428056, val: 74
mem: 94087967428055, val: 0
mem: 94087967428054, val: 0
mem: 94087967428053, val: 127
mem: 94087967428052, val: 252
mem: 94087967428051, val: 133
mem: 94087967428050, val: 155
mem: 94087967428049, val: 64
mem: 94087967428048, val: 0
mem: 94087967428047, val: 0
mem: 94087967428046, val: 0
mem: 94087967428045, val: 127
mem: 94087967428044, val: 252
mem: 94087967428043, val: 134
mem: 94087967428042, val: 52
mem: 94087967428041, val: 32
mem: 94087967428040, val: 24
mem: 94087967428039, val: 0
mem: 94087967428038, val: 0
mem: 94087967428037, val: 85
mem: 94087967428036, val: 146
mem: 94087967428035, val: 143
mem: 94087967428034, val: 73
mem: 94087967428033, val: 14
mem: 94087967428032, val: 40
mem: 94087967428031, val: 0
mem: 94087967428030, val: 0
mem: 94087967428029, val: 127
mem: 94087967428028, val: 252
mem: 94087967428027, val: 133
mem: 94087967428026, val: 155
mem: 94087967428025, val: 80
mem: 94087967428024, val: 0
mem: 94087967428023, val: 0
mem: 94087967428022, val: 0
mem: 94087967428021, val: 0
mem: 94087967428020, val: 0
mem: 94087967428019, val: 0
mem: 94087967428018, val: 0
mem: 94087967428017, val: 0
mem: 94087967428016, val: 1
mem: 94087967428015, val: 0
mem: 94087967428014, val: 0
mem: 94087967428013, val: 127
mem: 94087967428012, val: 252
mem: 94087967428011, val: 134
mem: 94087967428010, val: 52
mem: 94087967428009, val: 31
mem: 94087967428008, val: 48
mem: 94087967428007, val: 0
mem: 94087967428006, val: 0
mem: 94087967428005, val: 0
mem: 94087967428004, val: 0
mem: 94087967428003, val: 0
mem: 94087967428002, val: 0
mem: 94087967428001, val: 0
mem: 94087967428000, val: 9
mem: 94087967427999, val: 0
mem: 94087967427998, val: 0
mem: 94087967427997, val: 85
mem: 94087967427996, val: 146
mem: 94087967427995, val: 143
mem: 94087967427994, val: 72
mem: 94087967427993, val: 50
mem: 94087967427992, val: 3
mem: 94087967427991, val: 0
mem: 94087967427990, val: 0
mem: 94087967427989, val: 0
mem: 94087967427988, val: 32
mem: 94087967427987, val: 0
mem: 94087967427986, val: 0
mem: 94087967427985, val: 0
mem: 94087967427984, val: 0
mem: 94087967427983, val: 0
mem: 94087967427982, val: 0
mem: 94087967427981, val: 85
mem: 94087967427980, val: 146
mem: 94087967427979, val: 143
mem: 94087967427978, val: 73
mem: 94087967427977, val: 13
mem: 94087967427976, val: 248
mem: 94087967427975, val: 0
